Date,Predicted_Close
2025-05-06,8987.664
2025-05-07,8997.227
2025-05-08,9000.596
2025-05-09,9001.25
2025-05-10,9000.475
2025-05-11,8998.946
2025-05-12,8997.023
2025-05-13,8994.897
2025-05-14,8992.667
2025-05-15,8990.389
2025-05-16,8988.091
2025-05-17,8985.789
2025-05-18,8983.496
2025-05-19,8981.217
2025-05-20,8978.955
2025-05-21,8976.712
2025-05-22,8974.49
2025-05-23,8972.291
2025-05-24,8970.113
2025-05-25,8967.957
2025-05-26,8965.823
2025-05-27,8963.712
2025-05-28,8962.622
2025-05-29,8962.555
2025-05-30,8963.509
2025-05-31,8965.484
2025-06-01,8967.48
2025-06-02,8969.499
2025-06-03,8971.537
2025-06-04,8972.596
